fecha,tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presMax,presMin
2011-05-26,24.2,0.4,17.8,30.7,26.0,3.9,12.8,7.4,959.9,956.8
2011-05-27,20.8,0.1,16.0,25.5,25.0,2.8,12.8,4.1,958.5,956.2
2011-05-28,22.0,0.9,13.8,30.3,20.0,3.3,11.7,8.8,958.3,954.3
2011-05-29,22.8,0.0,15.5,30.2,22.0,4.7,10.3,11.7,956.9,953.2
2011-05-30,22.0,4.2,16.7,27.2,29.0,4.7,20.0,7.8,957.3,953.9
2011-05-31,21.3,0.0,14.5,28.1,8.0,2.5,11.4,9.9,963.2,956.8
2011-06-01,18.0,0.0,11.4,24.7,9.0,6.1,12.5,11.8,964.7,959.6
2011-06-02,17.2,0.0,10.0,24.5,4.0,6.1,13.9,13.2,963.1,957.4
2011-06-03,18.6,0.0,12.0,25.1,9.0,3.3,8.9,10.0,959.4,955.5
2011-06-04,19.4,0.0,11.7,27.0,32.0,3.1,8.6,11.2,956.6,951.1
2011-06-05,22.2,1.4,14.5,30.0,99.0,3.9,9.2,10.3,951.2,946.2
2011-06-06,18.8,5.4,13.0,24.5,32.0,5.6,14.2,6.3,949.8,946.4
2011-06-07,18.0,13.7,13.2,22.9,33.0,2.5,8.3,4.1,951.9,947.5
2011-06-08,19.2,0.0,13.2,25.3,26.0,4.7,12.5,13.1,956.1,951.8
2011-06-09,20.0,0.0,13.8,26.1,28.0,3.6,10.8,9.2,957.5,955.4
2011-06-10,20.0,0.0,13.0,26.9,30.0,3.3,10.3,10.6,958.6,956.1
2011-06-11,22.5,0.0,15.3,29.7,26.0,3.1,10.3,13.0,959.6,956.8
2011-06-12,24.4,0.0,15.7,33.1,25.0,3.3,9.7,13.1,959.9,955.8
2011-06-13,25.6,0.0,19.4,31.8,27.0,4.4,12.5,12.5,958.9,956.8
2011-06-14,25.2,0.0,17.4,32.9,28.0,4.2,10.0,14.2,959.5,957.0
2011-06-15,26.6,0.0,19.1,34.0,26.0,3.9,13.9,14.0,959.9,957.0
2011-06-16,25.4,0.0,18.9,31.8,99.0,5.3,11.1,12.2,958.9,955.5
2011-06-17,25.0,0.0,17.6,32.4,31.0,5.3,13.6,13.5,956.7,953.7
2011-06-18,24.6,0.0,18.0,31.2,27.0,5.3,10.6,14.1,958.9,954.8
2011-06-19,25.0,0.0,15.5,34.4,32.0,2.2,7.5,14.4,959.7,956.9
2011-06-20,27.4,0.0,18.1,36.6,29.0,3.6,9.7,14.2,959.1,955.4
2011-06-21,29.3,0.0,21.3,37.3,29.0,4.2,11.4,14.0,957.9,954.9
2011-06-22,27.2,0.0,20.3,34.0,29.0,6.9,16.9,14.1,958.7,955.9
2011-06-23,25.7,0.0,17.2,34.2,34.0,3.1,12.5,14.2,959.0,956.4
2011-06-24,26.2,0.0,17.0,35.5,9.0,3.6,8.3,14.1,961.6,958.3
2011-06-25,29.4,0.0,20.7,38.0,9.0,4.4,10.3,13.4,963.0,958.0
2011-06-26,31.0,0.0,22.5,39.4,10.0,3.1,9.2,13.2,960.9,956.8
2011-06-27,31.4,0.0,23.1,39.7,26.0,4.7,10.0,13.8,958.3,954.1
2011-06-28,30.4,0.0,23.3,37.4,27.0,4.7,11.9,13.8,957.3,954.3
2011-06-29,28.4,0.0,20.4,36.5,30.0,4.7,11.4,14.2,957.5,953.9
2011-06-30,27.2,0.0,17.5,36.9,26.0,4.2,9.7,14.3,958.7,955.1
2011-07-01,28.4,0.0,19.2,37.6,27.0,4.2,20.6,8.9,959.4,955.7
2011-07-02,28.9,0.0,20.4,37.4,99.0,3.6,11.4,11.7,956.4,949.2
2011-07-03,26.9,0.0,21.1,32.7,18.0,5.3,13.9,8.6,952.4,948.1
2011-07-04,24.9,0.0,17.3,32.5,27.0,4.4,9.4,14.1,957.3,952.4
2011-07-05,28.1,0.0,20.2,36.0,29.0,3.9,11.9,14.2,958.6,954.4
2011-07-06,27.4,0.0,20.5,34.2,26.0,5.6,13.6,14.4,955.5,951.5
